"","Terms","Docs","value","category"
"556","attachment","Cluster1",0.00934579439252336,"0.25"
"557","attachments","Cluster1",0,"0.25"
"558","attack","Cluster1",0.0186915887850467,"0.25"
"559","attacks","Cluster1",0,"0.25"
"560","attain","Cluster1",0.00934579439252336,"0.25"
"561","attained","Cluster1",0.0186915887850467,"0.25"
"562","attainedthis","Cluster1",0.00934579439252336,"0.25"
"563","attainment","Cluster1",0.00934579439252336,"0.25"
"564","attainments","Cluster1",0.0186915887850467,"0.25"
"565","attempt","Cluster1",0.0373831775700935,"0.25"
"566","attempted","Cluster1",0.00934579439252336,"0.25"
